appid,name,content
10,Counter-Strike,counter strike 1980s 1990s action assassin classic competitive fps first person military multiplayer old school pvp score attack shooter strategy survival tactical team based violent e sports 1980s 1990s action assassin classic competitive fps first person military multiplayer old school pvp score attack shooter strategy survival tactical team based violent e sports play the world s number 1 online action game engage in an incredibly realistic brand of terrorist warfare in this wildly popular team based game ally with teammates to complete strategic missions take out enemy sites rescue hostages your role affects your team s success your team s success affects your role
20,Team Fortress Classic,team fortress classic 1990s action adventure class based classic co op competitive fps fast paced first person funny mod multiplayer old school online co op remake retro shooter team based violent 1990s action adventure class based classic co op competitive fps fast paced first person funny mod multiplayer old school online co op remake retro shooter team based violent one of the most popular online action games of all time team fortress classic features over nine character classes from medic to spy to demolition man enlisted in a unique style of online team warfare each character class possesses unique weapons items and abilities as teams compete online in a variety of game play modes
30,Day of Defeat,day of defeat action class based classic co op fps first person historical military multiplayer shooter singleplayer tactical team based war world war i world war ii action class based classic co op fps first person historical military multiplayer shooter singleplayer tactical team based war world war i world war ii enlist in an intense brand of axis vs allied teamplay set in the wwii european theatre of operations players assume the role of light assault heavy infantry sniper or machine gunner class each with a unique arsenal of historical weaponry at their disposal missions are based on key historical operations
40,Deathmatch Classic,deathmatch classic action arena shooter classic fps first person multiplayer sci fi shooter action arena shooter classic fps first person multiplayer sci fi shooter enjoy fast paced multiplayer gaming with deathmatch classic a k a dmc valve s tribute to the work of id software dmc invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings
50,Half-Life: Opposing Force,half life opposing force 1990s action adventure aliens atmospheric classic co op fps first person gore great soundtrack masterpiece military moddable puzzle sci fi shooter silent protagonist singleplayer story rich 1990s action adventure aliens atmospheric classic co op fps first person gore great soundtrack masterpiece military moddable puzzle sci fi shooter silent protagonist singleplayer story rich return to the black mesa research facility as one of the military specialists assigned to eliminate gordon freeman experience an entirely new episode of single player action meet fierce alien opponents and experiment with new weaponry named game of the year by the academy of interactive arts and sciences
60,Ricochet,ricochet 3d action classic conspiracy cyberpunk fps first person masterpiece memes multiplayer old school platformer psychological horror retro sci fi shooter space 3d action classic conspiracy cyberpunk fps first person masterpiece memes multiplayer old school platformer psychological horror retro sci fi shooter space a futuristic action game that challenges your agility as well as your aim ricochet features one on one and team matches played in a variety of futuristic battle arenas
70,Half-Life,half life 1990s action adventure aliens atmospheric classic difficult fps first person great soundtrack linear masterpiece moddable multiplayer retro sci fi shooter silent protagonist singleplayer story rich 1990s action adventure aliens atmospheric classic difficult fps first person great soundtrack linear masterpiece moddable multiplayer retro sci fi shooter silent protagonist singleplayer story rich named game of the year by over 50 publications valve s debut title blends action and adventure with award winning technology to create a frighteningly realistic world where players must think to survive also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world
80,Counter-Strike: Condition Zero,counter strike condition zero action adventure atmospheric classic competitive dark fps first person horror military multiplayer online co op open world shooter simulation singleplayer strategy survival tactical team based action adventure atmospheric classic competitive dark fps first person horror military multiplayer online co op open world shooter simulation singleplayer strategy survival tactical team based with its extensive tour of duty campaign a near limitless number of skirmish modes updates and new content for counter strike s award winning multiplayer game play plus over 12 bonus single player missions counter strike condition zero is a tremendous offering of single and multiplayer content
130,Half-Life: Blue Shift,half life blue shift 1990s action adventure aliens atmospheric classic fps first person great soundtrack moddable puzzle sci fi shooter short silent protagonist singleplayer story rich zombies 1990s action adventure aliens atmospheric classic fps first person great soundtrack moddable puzzle sci fi shooter short silent protagonist singleplayer story rich zombies made by gearbox software and originally released in 2001 as an add on to half life blue shift is a return to the black mesa research facility in which you play as barney calhoun the security guard sidekick who helped gordon out of so many sticky situations
220,Half-Life 2,half life 2 action adventure aliens atmospheric classic dystopian fps first person great soundtrack horror masterpiece multiplayer physics puzzle sci fi shooter silent protagonist singleplayer story rich zombies action adventure aliens atmospheric classic dystopian fps first person great soundtrack horror masterpiece multiplayer physics puzzle sci fi shooter silent protagonist singleplayer story rich zombies 1998 half life sends a shock through the game industry with its combination of pounding action and continuous immersive storytelling valve s debut title wins more than 50 game of the year awards on its way to being named best pc game ever by pc gamer and launches a franchise with more than eight million retail units sold worldwide
240,Counter-Strike: Source,counter strike source action atmospheric competitive difficult fps first person military moddable multiplayer pvp sandbox shooter simulation singleplayer strategy survival tactical team based war e sports action atmospheric competitive difficult fps first person military moddable multiplayer pvp sandbox shooter simulation singleplayer strategy survival tactical team based war e sports just updated to include player stats achievements new scoreboards and more
280,Half-Life: Source,half life source 1990s action adventure aliens atmospheric classic fps first person great soundtrack horror masterpiece moddable multiplayer remake sci fi shooter silent protagonist singleplayer story rich zombies 1990s action adventure aliens atmospheric classic fps first person great soundtrack horror masterpiece moddable multiplayer remake sci fi shooter silent protagonist singleplayer story rich zombies winner of over 50 game of the year awards half life set new standards for action games when it was released in 1998 half life source is a digitally remastered version of the critically acclaimed and best selling pc game enhanced via source technology to include physics simulation enhanced effects and more
300,Day of Defeat: Source,day of defeat source action class based classic comedy fps first person gore historical massively multiplayer military multiplayer online co op realistic shooter simulation strategy tactical team based war world war ii action class based classic comedy fps first person gore historical massively multiplayer military multiplayer online co op realistic shooter simulation strategy tactical team based war world war ii valve s wwii multiplayer classic now available for mac
